authority,location,region,food_insecurity2017_2021,food_insecurity2018_2022,life_expectancy_2022,house_price_jul_22,house_price_jul_21,welfare_applications2020_2021,welfare_applications2021_2022,homelessness_applications2020_21,homelessness_applications2021_2022,average_household_gas_consumption_kwh_2021,total_consumption_kwh,businesses_2021,businesses_2022,foodbank_parcels_2021,foodbank_parcels_2022,average_rent_2021,average_rent_2022,average_energy_bill_2021,Population,SIMD,Deprivation
Aberdeen City,Urban,north_east,8,10,76.9,"£203,981","£192,388",20265,17130,1401,1548,13433.50335,2260.346635,4525,4030,"3,639","3,180",649,663,1301.606933,228800,4230.363957597173,least
Aberdeenshire,Rural,north_east,8,8,78.77,"£174,958","£157,190",8935,9360,902,956,15681.06284,1486.347245,7620,7185,"9,705","8,592",649,663,1614.001076,261800,4674.364705882353,least
Angus,Rural,east,9,8,78.22,"£196,135","£164,462",5130,4865,514,519,13856.21879,922.310068,1825,1765,"3,616","3,646",601,648,1434.551407,116280,3766.3806451612904,least
Argyll and Bute,Rural,highlands_islands,6,7,77.7,"£148,896","£147,641",2355,2390,422,446,15099.56687,443.1732078,2030,2040,NULL,NULL,583,612,1854.221537,86810,3549.544,least
City of Edinburgh,Urban,east,7,6,77.95,"£153,399","£139,179",39785,38625,553,573,12430.14442,4581.8243,10160,9460,"29,596","17,803",942,1006,1315.316731,513210,4518.948073701843,least
Clackmannanshire,Urban,east,6,6,75.32,"£328,808","£305,995",3675,3500,893,1190,12829.4737,954.2531063,430,425,NULL,NULL,642,697,1847.455602,51450,3043.347222222222,most
Dumfries and Galloway,Rural,south_west,11,9,77.39,"£175,263","£157,770",9415,9445,1394,1436,13400.92795,1231.371703,3260,3280,"2,674","2,918",477,480,1739.150558,149200,3374.781094527363,most
Dundee City,Urban,east,11,10,73.53,"£168,895","£150,964",12580,13040,795,1007,12555.38204,1340.754866,1260,1260,"12,719","12,751",601,648,1453.49039,148710,2748.686170212766,most
East Ayrshire,Urban,south_west,13,13,74.88,"£165,012","£144,075",8585,8970,292,368,16636.83909,900.4047498,1335,1305,"8,643","5,770",500,493,1525.793391,121940,2759.1901840490796,most
East Dunbartonshire,Urban,south_west,4,4,80.01,"£128,701","£107,417",3515,3405,649,667,16636.83909,900.4047498,1195,1100,"5,361","4,889",721,780,1564.23939,108130,4899.9384615384615,least
East Lothian,Rural,east,6,6,78.87,"£269,476","£236,236",6020,6560,369,389,13129.56931,857.6399624,1495,1415,"6,951","8,565",942,1006,1814.243318,104840,3813.340909090909,least
East Renfrewshire,Urban,south_west,6,6,79.39,"£306,467","£272,892",1470,1520,2212,3130,17274.03265,753.8480809,1170,1090,"4,078","4,122",518,547,1267.90957,94760,5178.581967213115,least
Falkirk,Urban,east,4,4,76.21,"£295,374","£255,791",6705,6710,140,155,13269.92982,1381.277084,1430,1300,"7,547","7,779",642,697,1297.210737,160130,3406.654205607477,most
Fife,Rural,east,8,8,76.85,"£165,978","£145,915",33395,33810,1135,1179,13565.76475,3700.906635,3815,3540,"16,333","14,800",616,649,1491.445988,371410,3494.251012145749,least
Glasgow City,Urban,south_west,13,13,72.94,"£168,599","£154,948",61315,62405,2536,2658,11068.74212,5158.579925,8330,8135,"32,868","29,809",797,858,1452.271062,621020,2356.975871313673,most
Highland,Rural,highlands_islands,8,6,77.56,"£201,686","£183,957",8645,9315,7262,6323,13701.26785,1120.449919,5330,5315,"7,699","5,526",612,643,1258.915212,235180,3606.676282051282,least
Inverclyde,Urban,south_west,8,9,74.05,"£124,516","£118,387",4450,4000,1109,1345,13438.00568,687.6152136,645,605,"6,069","5,386",518,547,1441.267949,78760,2532.3859649122805,most
Midlothian,Rural,east,8,9,77.56,"£232,850","£212,862",7930,8125,323,320,12936.34836,712.9778322,965,925,"4,342","5,660",942,1006,1373.267392,90090,3367.182608695652,most
Moray,Rural,highlands_islands,6,7,78.26,"£190,875","£167,095",3195,3560,496,478,14158.45172,1712.029559,1520,1490,NULL,NULL,612,643,1481.15347,95780,3987.3968253968255,least
Na h-Eileanan an Iar,Rural,highlands_islands,7,7,77.9,"£147,596","£131,854",435,445,464,572,12129.79779,26.38840992,660,675,363,NULL,612,643,1255.056081,26950,3317.5555555555557,most
North Ayrshire,Rural,south_west,7,8,74.45,"£133,028","£115,080",8000,8225,1100,1160,12529.3955,1983.594413,1335,1225,"6,255","2,834",500,493,1307.089429,135790,2610.3709677419356,most
North Lanarkshire,Urban,south_west,14,13,74.14,"£142,186","£125,687",22810,23670,1617,1800,13340.47792,2890.190123,2385,2270,"5,977","4,222",517,560,1138.683625,339960,2620.642058165548,most
Orkney Islands,Rural,highlands_islands,5,5,80.4,"£222,241","£175,181",225,215,150,123,NULL,NULL,935,960,"1,367",940,612,643,1250.351553,22000,4052.206896551724,least
Perth and Kinross,Rural,east,6,5,78.86,"£240,865","£217,002",7065,6950,694,638,14380.18003,1017.447388,2870,2870,"5,380","6,769",590,626,1277.327702,151100,4268.758064516129,least
Renfrewshire,Urban,south_west,6,7,75.53,"£156,991","£141,430",12495,12910,867,905,12503.01786,1573.429072,1785,1660,"9,292","7,938",518,547,1282.46208,176830,3312.5644444444442,most
Scottish Borders,Rural,east,7,7,79.06,"£195,746","£182,486",3120,3115,679,701,13489.96738,774.9463684,2475,2490,"1,174","1,053",516,525,1267.452687,115020,3806.048951048951,least
Shetland Islands,Rural,highlands_islands,6,5,79.62,"£195,985","£173,535",250,255,88,92,NULL,NULL,990,1005,"1,343",965,612,643,1200.794947,23080,4223.8,least
South Ayrshire,Rural,south_west,8,8,76.4,"£170,908","£153,779",5390,5810,774,849,13826.10569,1283.758074,1520,1475,"5,875","6,327",500,493,1449.592766,112680,3438.8366013071895,most
South Lanarkshire,Rural,south_west,9,9,75.88,"£166,465","£147,280",16810,17315,2162,2230,14134.04917,2429.382592,3415,3260,"14,023","13,252",556,613,1339.119605,318170,3277.6055684454755,most
Stirling,Rural,east,7,7,77.39,"£250,316","£218,105",5335,5455,577,598,14808.49355,1181.303154,1820,1765,NULL,NULL,642,697,1361.668903,94000,4203.900826446281,least
West Dunbartonshire,Urban,south_west,9,12,73.42,"£144,686","£124,251",9770,9500,1168,1185,11422.32822,711.8385441,685,640,"1,589",NULL,537,582,1151.287796,89610,2362.9421487603304,most
West Lothian,Urban,east,7,10,77.14,"£207,756","£182,643",15315,15575,1366,1204,13673.65394,1800.247261,1805,1615,"10,141","11,541",642,673,1302.255812,181310,3486.3430962343095,most
